Time,Event,Source
2022年08月26日,洛杉磯天使與多倫多藍鳥的系列賽第2戰，在昨日以12比0痛擊藍鳥的天使,35
2022年08月27日,今（28日）靠著日籍好手大谷翔平的二刀流上陣，7局、僅被敲出2支安打、無失分、1保送、奪9K壓制，同時選到2次保送，搭配上Luis Rgifo的安打以及AdrVzquz陽春砲，終場天使就以2比0連兩天完封藍鳥。,35
2022年08月27日,天使隊今天與光芒隊之戰，兩位亞洲好手同場競技，張育成雖然4打數無安打，不過首打席有一支準安打球被對手美技沒收,35
2022年08月27日,而天使隊雖...帶著6連勝氣勢的坦帕灣光芒今（27日）前往波士頓紅襪作客，光芒前3局打完取得4比1領先，孰料紅襪4下吹起反攻號角，連續4個半局進攻皆有所斬獲，反倒以9比4領先，雖然光芒在8上灌進4分，仍以1分差敗北，終場以8比9中斷連勝。,35
2022年8月24日,【記者 宋祥霖／高雄 報導】岡山分局永安分駐所警員徐卉宣於8月24日15時許，接獲報案有一名越南籍陳姓女子受友人所託，遠從屏東至永安區統一超商領取包裹...坦帕灣光芒對決波士頓紅襪的美東內戰,35
2022年08月27日,臺灣好手張育成今（28日）以二壘手第7棒身份先發，在歷經10打數沒有安打的低潮後，3局上首打席就敲出內野安打，5局上再從Hi手中選到保送，7局上則是吞下三振，9局上被崔志萬接替代打，總計張育成留下2支1、1保送、吞1K，打擊率上升至0.205；,35
2022年,女子棒球聯賽今年來到了第三屆，適逢女棒20週年,35
2022年,因此今年的開幕典禮也格外盛大,35
2022年08月27日,27日現場嘉賓雲集，教育部體育署林騰蛟次長、台北市政府體育局李再立局長、中華職業棒球大聯盟楊清瓏秘書長、中華民國棒球協會辜仲諒理事長，以及前國家隊總教練謝長亨、知名球評曾文誠、SuSr明星棒球隊陳齊祥經理等都出席響應，並喊出口號「投向下一個20年」。,35
2022年08月27日,亞特蘭大勇士今（27日）推派Spcr Sridr面對聖路易紅雀，繳出6局7K僅失1分的優質先發，靠著隊友強大的火力支援順利奪下本季第8勝。,35
